hash,nonce,block_hash,block_number,transaction_index,from_address,to_address,value,gas,gas_price,input,block_timestamp,max_fee_per_gas,max_priority_fee_per_gas,transaction_type

0xbe695d86e1ac80c0db0fa3c66037c54a05eabd1b67add46496f54736a27b3cba,46120,0x5afe4f83bec60d86cd3d1acff40086046d525f79090b9d61b242cfde91704c42,553081,0,0x64f74a8164eea753742928cafcd14336d915fe6a,0x64f74a8164eea753742928cafcd14336d915fe6a,100000000000000,21000,1000000007,0x,1701154083,,,0

0x29bb1d0e7af5127cb8e2fdab1a2796038c474289a6f21dee59aeb0a07e4324d3,46121,0x5afe4f83bec60d86cd3d1acff40086046d525f79090b9d61b242cfde91704c42,553081,1,0x64f74a8164eea753742928cafcd14336d915fe6a,0x64f74a8164eea753742928cafcd14336d915fe6a,100000000000000,21000,1000000007,0x,1701154083,,,0

0xf1d9b2b6feda5f49bae17c03eef5438ff0827df45cd830d965f8e1a22bfe05bf,46122,0x5afe4f83bec60d86cd3d1acff40086046d525f79090b9d61b242cfde91704c42,553081,2,0x64f74a8164eea753742928cafcd14336d915fe6a,0x64f74a8164eea753742928cafcd14336d915fe6a,100000000000000,21000,1000000007,0x,1701154083,,,0

0xf1d9b2b6feda5f49bae17c03eef5438ff0827df45cd830d965f8e1a22bfe05bf,46122,0x5afe4f83bec60d86cd3d1acff40086046d525f79090b9d61b242cfde91704c42,553081,2,0x64f74a8164eea753742928cafcd14336d915fe6a,0x64f74a8164eea753742928cafcd14336d915fe6a,100000000000000,21000,1000000007,0x,1701154083,,,0

0x488d8479df2e4bfcb9b6f4c1847328b44f315c5ea96208f6ec2ab07390bec332,46123,0x5afe4f83bec60d86cd3d1acff40086046d525f79090b9d61b242cfde91704c42,553081,3,0x64f74a8164eea753742928cafcd14336d915fe6a,0x64f74a8164eea753742928cafcd14336d915fe6a,100000000000000,21000,1000000007,0x,1701154083,,,0

0xbe695d86e1ac80c0db0fa3c66037c54a05eabd1b67add46496f54736a27b3cba,46120,0x5afe4f83bec60d86cd3d1acff40086046d525f79090b9d61b242cfde91704c42,553081,0,0x64f74a8164eea753742928cafcd14336d915fe6a,0x64f74a8164eea753742928cafcd14336d915fe6a,100000000000000,21000,1000000007,0x,1701154083,,,0

0xbe695d86e1ac80c0db0fa3c66037c54a05eabd1b67add46496f54736a27b3cb1,46120,0x5afe4f83bec60d86cd3d1acff40086046d525f79090b9d61b242cfde91704c42,553081,0,0x64f74a8164eea753742928cafcd14336d915fe6a,0x64f74a8164eea753742928cafcd14336d915fe6a,100000000000000,21000,1000000007,0x,1701154083,,,0
